#  L 		 TT 		 EE 		 BB 		 TE 		 TB 		 EB
 231     4.14534e-01     5.67641e-03     1.39746e-03     2.26020e-02     1.44593e-03    -2.60663e-03
 232     3.95147e-01     5.24685e-03     8.82734e-04     2.17147e-02     1.32382e-03    -2.54268e-03
 233     3.76589e-01     4.85704e-03     4.71149e-04     2.07333e-02     1.11154e-03    -2.42802e-03
 234     3.59529e-01     4.52718e-03     1.68933e-04     1.96593e-02     8.26526e-04    -2.28290e-03
 235     3.44585e-01     4.26995e-03    -2.66597e-05     1.85014e-02     4.89156e-04    -2.13111e-03
 236     3.32268e-01     4.08907e-03    -1.24103e-04     1.72761e-02     1.20406e-04    -1.99588e-03
 237     3.23020e-01     3.97977e-03    -1.34531e-04     1.60133e-02    -2.59644e-04    -1.89704e-03
 238     3.17176e-01     3.92936e-03    -6.92961e-05     1.47573e-02    -6.32815e-04    -1.84867e-03
 239     3.14960e-01     3.91880e-03     6.17353e-05     1.35687e-02    -9.83329e-04    -1.85770e-03
 240     3.16452e-01     3.92503e-03     2.51115e-04     1.25237e-02    -1.29806e-03    -1.92330e-03
 241     3.21577e-01     3.92458e-03     4.93991e-04     1.17111e-02    -1.56685e-03    -2.03698e-03
 242     3.30036e-01     3.89741e-03     7.87481e-04     1.12233e-02    -1.78259e-03    -2.18335e-03
 243     3.41275e-01     3.83162e-03     1.12922e-03     1.11434e-02    -1.94148e-03    -2.34176e-03
 244     3.54508e-01     3.72812e-03     1.51535e-03     1.15291e-02    -2.04325e-03    -2.48917e-03
 245     3.68733e-01     3.60274e-03     1.93802e-03     1.23942e-02    -2.09089e-03    -2.60328e-03
 246     3.82832e-01     3.48539e-03     2.38323e-03     1.36951e-02    -2.09013e-03    -2.66614e-03
 247     3.95691e-01     3.41470e-03     2.82956e-03     1.53274e-02    -2.04817e-03    -2.66687e-03
 248     4.06371e-01     3.42945e-03     3.24875e-03     1.71361e-02    -1.97246e-03    -2.60337e-03
 249     4.14249e-01     3.55838e-03     3.60836e-03     1.89402e-02    -1.86938e-03    -2.48214e-03
 250     4.19034e-01     3.81143e-03     3.87528e-03     2.05612e-02    -1.74305e-03    -2.31616e-03
 251     4.20844e-01     4.17642e-03     4.02111e-03     2.18569e-02    -1.59546e-03    -2.12279e-03
 252     4.20037e-01     4.61994e-03     4.02540e-03     2.27371e-02    -1.42656e-03    -1.92067e-03
 253     4.17204e-01     5.09475e-03     3.87925e-03     2.31765e-02    -1.23550e-03    -1.72820e-03
 254     4.12939e-01     5.54745e-03     3.58505e-03     2.32027e-02    -1.02131e-03    -1.56189e-03
 255     4.07830e-01     5.92840e-03     3.15656e-03     2.28862e-02    -7.84179e-04    -1.43624e-03
 256     4.02358e-01     6.19813e-03     2.61655e-03     2.23196e-02    -5.26062e-04    -1.36330e-03
 257     3.96875e-01     6.33150e-03     1.99453e-03     2.16001e-02    -2.51214e-04    -1.35255e-03
 258     3.91597e-01     6.31880e-03     1.32426e-03     2.08147e-02     3.34611e-05    -1.41043e-03
 259     3.86624e-01     6.16455e-03     6.41846e-04     2.00310e-02     3.18151e-04    -1.53964e-03
 260     3.81939e-01     5.88440e-03    -1.59029e-05     1.92907e-02     5.89916e-04    -1.73816e-03
 261     3.77449e-01     5.50199e-03    -6.12549e-04     1.86106e-02     8.32592e-04    -1.99830e-03
 262     3.72981e-01     5.04476e-03    -1.11322e-03     1.79832e-02     1.02694e-03    -2.30561e-03
 263     3.68359e-01     4.54131e-03    -1.48638e-03     1.73851e-02     1.15164e-03    -2.63895e-03
 264     3.63339e-01     4.01705e-03    -1.70616e-03     1.67811e-02     1.18492e-03    -2.97065e-03
